Order,ID_code,Country,Agency,Gear,Area,Long_deg,Long_min,Hemisphere,Lat_deg,Lat_min,Set_no,Month,Day,Year,Day_no,Dir_of_fish_movement,Species,Length_TSFT_mm,Whole_body_weight_grams,Scale_no,Freshwater_age,Ocean_age,Age_method,Sex,Egg_Testis_width_mm,Maturity,Stomach_volume,Fish,Squid,Mollusc,Crustaceans,Amphipod,Copepod,Euphausid,Decapod,Mysids,Unidentified,Digested,Bait,Injury,Exam_location
541,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,350,,F08,,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
542,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,440,,F09,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
543,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,385,,F10,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
544,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,405,,F11,2,1,Scale,,,Immature,,,,,,,,,,,,,, Unknown_predator_wound,Vessel_fresh
545,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,465,,F12,2,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
546,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,395,,F13,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
547,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Chum,305,,F14,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
548,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,345,,F15,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
549,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,440,,F16,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
550,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,475,,F17,2,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
551,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,350,,F18,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
552,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,405,,F19,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
553,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,370,,F20,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
554,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Chum,335,,F21,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
555,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Chum,330,,F22,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
556,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,365,,F23,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
557,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,385,,F24,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
558,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,500,,F25,1,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
559,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,375,,F26,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
560,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,395,,F27,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
561,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,310,,F,,1,Length,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
562,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,380,,F29,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
563,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,400,,F30,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
564,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,360,,G01,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
565,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,395,,G02,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
566,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,400,,G03,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
567,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,375,,G04,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
568,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,390,,G05,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
569,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,380,,G06,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
570,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,380,,G07,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
571,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,340,,G08,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
572,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,340,,G09,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
573,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,365,,G10,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
574,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,320,,G11,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
575,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,360,,G12,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
576,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,370,,G13,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
577,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,360,,G14,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
578,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,355,,G15,,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
579,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,455,,G16,1,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
580,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,380,,G17,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
581,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,370,,G18,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
582,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,380,,G19,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
583,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,370,,G20,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
584,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,390,,G21,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
585,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,380,,G22,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
586,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,410,,G23,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
587,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,415,,G24,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
588,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,345,,G25,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
589,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,400,,G,,1,Length,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
590,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,350,,G27,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
591,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,375,,G28,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
592,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,340,,G29,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
593,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Chum,340,,G30,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
594,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Chum,305,,H01,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
595,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,360,,H02,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
596,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Chum,340,,H03,0,1,Scale,,,Immature,,,,,,,,,,,,,, Unknown_predator_wound,Vessel_fresh
597,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,480,,H04,2,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
598,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,400,,H05,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
599,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,360,,H06,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
600,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,470,,H07,2,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
601,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,415,,H08,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
602,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,395,,H09,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
603,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,450,,H10,1,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
604,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,375,,H11,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
605,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,360,,H12,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
606,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,430,,H13,1,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
607,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,365,,H14,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
608,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,365,,H15,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
609,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,350,,H16,,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
610,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,450,,H17,2,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
611,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,380,,H18,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
612,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,385,,H19,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
613,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,385,,H20,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
614,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,370,,H21,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
615,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,515,,H22,1,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
616,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,465,,H23,2,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
617,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,390,,H24,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
618,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,395,,H25,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
619,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,360,,H26,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
620,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,390,,H27,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
621,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,380,,H28,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
622,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,485,,H29,2,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
623,1980FRIG068,USA,FRI,Purse-seine,E7550,179,27,E,51,0,G068,8,2,1980,215,West,Sockeye,380,,H30,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
624,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Sockeye,490,,C01,1,2,Scale,,,Immature,,,,,,,,,,,,,, Unknown_predator_wound,Vessel_fresh
625,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Chum,345,,C02,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
626,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Chum,345,,C03,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
627,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Chum,350,,C04,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
628,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Chum,320,,C05,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
629,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Sockeye,330,,C06,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
630,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Chum,320,,C07,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
631,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Chum,320,,C08,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
632,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Chum,320,,C09,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
633,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Sockeye,560,,C10,2,2,Scale,,,Mature,,,,,,,,,,,,,, Unknown_predator_wound,Vessel_fresh
634,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Sockeye,360,,C11,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
635,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Chum,350,,C12,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
636,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Sockeye,380,,C13,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
637,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Chum,345,,C14,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
638,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Chum,380,,C15,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
639,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Sockeye,390,,C16,2,1,Scale,,,Immature,,,,,,,,,,,,,, Unknown_predator_wound,Vessel_fresh
640,1980FRIG069,USA,FRI,Purse-seine,E7550,179,27,E,50,50,G069,8,2,1980,215,West,Chum,350,,C17,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
641,1980FRIG071,USA,FRI,Purse-seine,E7550,179,18,E,50,39,G071,8,3,1980,216,West,Chum,240,,B01,0,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
642,1980FRIG071,USA,FRI,Purse-seine,E7550,179,18,E,50,39,G071,8,3,1980,216,West,Chum,350,,B02,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
643,1980FRIG071,USA,FRI,Purse-seine,E7550,179,18,E,50,39,G071,8,3,1980,216,West,Chum,330,,B03,,1,Length,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
644,1980FRIG071,USA,FRI,Purse-seine,E7550,179,18,E,50,39,G071,8,3,1980,216,West,Chum,315,,B04,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
645,1980FRIG071,USA,FRI,Purse-seine,E7550,179,18,E,50,39,G071,8,3,1980,216,West,Chum,305,,B05,0,1,Scale,,,Immature,,,,,,,,,,,,,, Unknown_predator_wound,Vessel_fresh
646,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,375,,E01,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
647,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,470,,E02,1,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
648,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,375,,E03,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
649,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Chum,320,,E04,,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
650,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,355,,E05,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
651,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,360,,E06,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
652,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,300,,E07,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
653,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Chum,360,,E08,0,2,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
654,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Chum,345,,E09,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
655,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Chum,350,,E10,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
656,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Chum,350,,E11,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
657,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,340,,E12,1,1,Scale,,,Immature,,,,,,,,,,,,,, Unknown_predator_wound,Vessel_fresh
658,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,315,,E13,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
659,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,395,,E14,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
660,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Chum,325,,E15,,1,Length,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
661,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,470,,E16,1,2,Scale,,,Immature,,,,,,,,,,,,,, Unknown_predator_wound,Vessel_fresh
662,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,355,,E17,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
663,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,370,,E18,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
664,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,390,,E19,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
665,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,350,,E20,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
666,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Chum,340,,E21,,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
667,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Chum,305,,E22,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
668,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,380,,E23,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
669,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,350,,E24,2,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
670,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Chum,330,,E,,1,Length,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
671,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,335,,E26,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
672,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Chum,330,,E27,0,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
673,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,365,,E28,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
674,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,360,,E29,1,1,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
675,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,535,,F01,1,3,Scale,,,Immature,,,,,,,,,,,,,,,Vessel_fresh
676,1980FRIG072,USA,FRI,Purse-seine,E7550,179,14,E,50,29,G072,8,3,1980,216,West,Sockeye,560,,F02,1,2,Scale,,,Mature,,,,,,,,,,,,,,,Vessel_fresh
