"","x","y","ymin","ymax"
"1",0.62,0.0229529234112739,0.0159038867397965,0.0330214484580416
"2",0.63,0.0221484196178453,0.0155678214715679,0.0314218834358046
"3",0.64,0.0213714970260949,0.01523720226899,0.0299003930548802
"4",0.65,0.0206212526184595,0.0149117831008644,0.0284536385244314
"5",0.66,0.0198968099994249,0.0145912993343323,0.0270784346829947
"6",0.67,0.0191973188176843,0.014275463539361,0.0257717513314843
"7",0.68,0.0185219541852891,0.0139639603846726,0.02453071528233
"8",0.69,0.0178699160953003,0.0136564404446182,0.0233526133411587
"9",0.7,0.0172404288393196,0.0133525127286841,0.0222348964417883
"10",0.71,0.0166327404261617,0.0130517357667101,0.0211751851306718
"11",0.72,0.0160461220028164,0.0127536071645173,0.0201712765122788
"12",0.73,0.0154798672787428,0.0124575517408058,0.0192211525679401
"13",0.74,0.0149332919544395,0.0121629087570783,0.0183229893571706
"14",0.75,0.0144057331551417,0.0118689194972016,0.0174751658632356
"15",0.76,0.0138965488704087,0.0115747177320515,0.0166762699636762
"16",0.77,0.0134051174002845,0.0112793276167426,0.0159250969924288
"17",0.78,0.01293083680864,0.0109816763682726,0.0152206335579945
"18",0.79,0.0124731243842305,0.0106806322013228,0.0145620161505099
"19",0.8,0.0120314161099429,0.0103750798476769,0.0139484522213204
"20",0.81,0.0116051661406405,0.01006404317803,0.0133790942239539
"21",0.82,0.0111938462899603,0.00974685244666195,0.0128528691024427
"22",0.83,0.0107969455263635,0.00942333051474688,0.0123682888765028
"23",0.84,0.010413969478694,0.00909394546780358,0.0119232949123475
"24",0.85,0.0100444399514527,0.00875986591490086,0.0115151995948841
"25",0.86,0.00968789444995519,0.00842287920778772,0.0111407651656871
"26",0.87,0.00934388571550459,0.00808518700202091,0.0107964053065166
"27",0.88,0.00901198127067399,0.00774914279868076,0.0104784448309998
"28",0.89,0.00869176297476307,0.00741700885646878,0.0101833600953313
"29",0.9,0.00838282658946416,0.00709078400530076,0.00990794859703765
"30",0.91,0.00808478135474667,0.00677211515892912,0.00964941496400432
"31",0.92,0.00779724957494506,0.00646227767733871,0.00940538818238158
"32",0.93,0.0075198662150135,0.00616219987750147,0.00917389476382556
"33",0.94,0.00725227850689131,0.00587250936624353,0.00895331017708956
"34",0.95,0.00713668761060988,0.0061343274563671,0.00830146715094611
"35",0.96,0.00730534447245615,0.00631200071940904,0.00845368461247296
"36",0.97,0.00747795707653284,0.00649362803027475,0.00861020138436975
"37",0.98,0.00765461676732095,0.00667912444306156,0.00877132258416826
"38",0.99,0.00783541693001789,0.00686837551950964,0.0089373888367603
"39",1,0.00802045303283949,0.00706123444233908,0.00910877931976116
"40",1.01,0.00820982267003896,0.00725751967714198,0.00928591426388479
"41",1.02,0.00840362560564615,0.00745701358823879,0.00946925650295527
"42",1.03,0.00860196381793109,0.00765946250324591,0.00965931157883986
"43",1.04,0.00880494154459436,0.00786457877502701,0.00985662585265769
"44",1.05,0.00901266532868701,0.00807204537006526,0.0100617820932519
"45",1.06,0.00922524406526156,0.008281523376061,0.0102753921501389
"46",1.07,0.00944278904875544,0.00849266253538327,0.0104980866043221
"47",1.08,0.00966541402110739,0.00870511447374661,0.0107305017276073
"48",1.09,0.00989323522060643,0.00891854775941719,0.0109732646151205
"49",1.1,0.0101263714314729,0.00913266341576109,0.0112269778682118
"50",1.11,0.0103649440341689,0.00934720917921013,0.0114922055356633
"51",1.12,0.0106090770564372,0.00956199079023716,0.0117694620255902
"52",1.13,0.0108588972250627,0.00977687898388651,0.0120592053214688
"53",1.14,0.0111145340183543,0.00999181153432429,0.0123618351477926
"54",1.15,0.0113761197193405,0.010206790516352,0.0126776959223722
"55",1.16,0.0116437894696719,0.0104218756507769,0.0130070836283365
"56",1.17,0.0119176813242242,0.0106371750315122,0.0133502553078986
"57",1.18,0.0121979363063908,0.0108528346351012,0.0137074397771238
"58",1.19,0.0124846984640572,0.0110690278421237,0.0140788483321522
"59",1.2,0.012778114926244,0.0112859458697404,0.0144646845475298
"60",1.21,0.0130783359604056,0.0115037896446252,0.0148651526372817
"61",1.22,0.0133855150303716,0.0117227633214694,0.0152804641734244
"62",1.23,0.0136998088549135,0.0119430694155342,0.0157108431932953
"63",1.24,0.0140213774669199,0.0121649053737573,0.0161565298710417
"64",1.25,0.0143503842731605,0.0123884613420477,0.0166177829954568
"65",1.26,0.0146869961146186,0.0126139188736551,0.017094881509088
"66",1.27,0.0150313833273675,0.0128414503430426,0.0175881253439717
"67",1.28,0.0153837198039679,0.0130712188647486,0.0180978357542804
"68",1.29,0.0157441830553574,0.0133033785561154,0.0186243553067444
"69",1.3,0.0161129542732037,0.0135380750200965,0.019168047652361
"70",1.31,0.0164902183926905,0.0137754459565576,0.019729297170671
"71",1.32,0.0168761641557009,0.014015621836639,0.0203085085517048
"72",1.33,0.0172709841743627,0.0142587265950658,0.0209061063603557
"73",1.34,0.0176748749949167,0.014504878310549,0.0215225346126502
"74",1.35,0.0180880371618662,0.0147541898555542,0.0221582563822228
"75",1.36,0.0185106752823619,0.0150067695046219,0.0228137534473612
"76",1.37,0.0189429980907771,0.0152627214958976,0.0234895259834821
"77",1.38,0.0193852185134203,0.0155221465442108,0.0241860923021817
"78",1.39,0.0198375537333325,0.0157851423064223,0.0249039886355836
"79",1.4,0.0203002252551119,0.0160518038012321,0.0256437689632019
"80",1.41,0.0207734589697051,0.0163222237864734,0.0264060048776575
"81",1.42,0.0212574852191005,0.0165964930973234,0.0271912854851418
"82",1.43,0.0217525388608565,0.0168747009489844,0.0280002173363532
"83",1.44,0.0222588593323915,0.017156935207327,0.0288334243836494
"84",1.45,0.0227766907149609,0.0174432826308202,0.0296915479602762
"85",1.46,0.0233062817972398,0.0177338290868403,0.0305752467777177
