"","x","y","ymin","ymax"
"1",0.6,0.0295378103594627,0.0193072349940226,0.0449409718697895
"2",0.65,0.0238694245469675,0.0165305594813014,0.0343526263543012
"3",0.7,0.0192672209447475,0.0141350916880941,0.0262131643717001
"4",0.75,0.0155382317876316,0.0120644976711874,0.019991919152041
"5",0.8,0.0125217387494031,0.0102652793725566,0.0152665502912785
"6",0.85,0.0100848494681818,0.00868044447172584,0.0117137875936675
"7",0.9,0.00811831084218157,0.00723767076878926,0.00910511962898313
"8",0.95,0.00653271523387978,0.00586385900643467,0.00727730551477501
"9",1,0.0052551631666216,0.00459519142803234,0.00600934929669742
"10",1.05,0.00425772620727319,0.00324974672258105,0.00557660321713451
"11",1.1,0.005693335109613,0.00453557097078451,0.00714451270053574
"12",1.15,0.00760929977053819,0.00626676492877512,0.00923677372733349
"13",1.2,0.0101634488467987,0.00852468525316348,0.0121133952294679
"14",1.25,0.0135632101659867,0.0113635997337016,0.0161816222940902
"15",1.3,0.0180794490172036,0.0148504708522173,0.0219948376265675
"16",1.35,0.0240628088403666,0.0191197058939358,0.0302444695620057
"17",1.4,0.0319618947178652,0.0243741599998961,0.0418104824977811
"18",1.45,0.0423415096342825,0.030867281581577,0.057826525040674
