"","x","y","ymin","ymax","feature"
"779",818.623529411765,0.956101077582657,0.924523649386616,0.974827010762737,"dateset1"
"780",819.623529411765,0.956184383597034,0.92460754007756,0.974894904604964,"dateset1"
"781",820.623529411765,0.956267538754439,0.924691339255241,0.974962622090518,"dateset1"
"782",821.623529411765,0.956350543300633,0.924775047032036,0.975030163638338,"dateset1"
"783",822.623529411765,0.956433397481077,0.924858663520045,0.97509752966661,"dateset1"
"784",823.623529411765,0.95651610154094,0.924942188831097,0.975164720592764,"dateset1"
"785",824.623529411765,0.956598655725092,0.925025623076748,0.975231736833478,"dateset1"
"786",825.623529411765,0.956681060278107,0.925108966368283,0.975298578804673,"dateset1"
"787",826.623529411765,0.956763315444264,0.925192218816719,0.975365246921517,"dateset1"
"788",827.623529411765,0.956845421467544,0.925275380532807,0.975431741598421,"dateset1"
"789",828.623529411765,0.956927378591633,0.925358451627029,0.975498063249043,"dateset1"
"790",829.623529411765,0.95700918705992,0.925441432209606,0.975564212286284,"dateset1"
"791",830.623529411765,0.957090847115498,0.925524322390494,0.975630189122287,"dateset1"
"792",831.623529411765,0.957172359001162,0.925607122279391,0.975695994168441,"dateset1"
"793",832.623529411765,0.957253722959411,0.925689831985732,0.97576162783538,"dateset1"
"794",833.623529411765,0.957334939232449,0.925772451618695,0.975827090532978,"dateset1"
"795",834.623529411765,0.957416008062181,0.925854981287203,0.975892382670355,"dateset1"
"796",835.623529411765,0.957496929690216,0.925937421099922,0.975957504655872,"dateset1"
"797",836.623529411765,0.957577704357868,0.926019771165265,0.976022456897135,"dateset1"
"798",837.623529411765,0.957658332306152,0.926102031591393,0.976087239800992,"dateset1"
"799",838.623529411765,0.957738813775787,0.926184202486215,0.976151853773534,"dateset1"
"800",839.623529411765,0.957819149007195,0.926266283957392,0.976216299220093,"dateset1"
"801",840.623529411765,0.957899338240503,0.926348276112336,0.976280576545246,"dateset1"
"802",841.623529411765,0.957979381715538,0.926430179058214,0.97634468615281,"dateset1"
"803",842.623529411765,0.958059279671833,0.926511992901945,0.976408628445848,"dateset1"
"804",843.623529411765,0.958139032348621,0.926593717750208,0.976472403826662,"dateset1"
"805",844.623529411765,0.958218639984842,0.926675353709435,0.976536012696798,"dateset1"
"806",845.623529411765,0.958298102819137,0.926756900885821,0.976599455457043,"dateset1"
"807",846.623529411765,0.958377421089849,0.926838359385319,0.976662732507429,"dateset1"
"808",847.623529411765,0.958456595035025,0.926919729313645,0.976725844247227,"dateset1"
"809",848.623529411765,0.958535624892417,0.927001010776275,0.976788791074953,"dateset1"
"810",849.623529411765,0.958614510899476,0.927082203878454,0.976851573388363,"dateset1"
"811",850.623529411765,0.958693253293361,0.927163308725187,0.97691419158446,"dateset1"
"812",851.623529411765,0.958771852310929,0.927244325421251,0.976976646059484,"dateset1"
"813",852.623529411765,0.958850308188744,0.927325254071187,0.97703893720892,"dateset1"
"814",853.623529411765,0.958928621163071,0.927406094779308,0.977101065427498,"dateset1"
"815",854.623529411765,0.959006791469879,0.927486847649697,0.977163031109186,"dateset1"
"816",855.623529411765,0.959084819344839,0.927567512786208,0.9772248346472,"dateset1"
"817",856.623529411765,0.959162705023326,0.927648090292469,0.977286476433995,"dateset1"
"818",857.623529411765,0.959240448740417,0.927728580271882,0.977347956861271,"dateset1"
"819",858.623529411765,0.959318050730894,0.927808982827626,0.977409276319972,"dateset1"
"820",859.623529411765,0.959395511229241,0.927889298062654,0.977470435200283,"dateset1"
"821",860.623529411765,0.959472830469644,0.9279695260797,0.977531433891636,"dateset1"
"822",861.623529411765,0.959550008685993,0.928049666981275,0.977592272782704,"dateset1"
"823",862.623529411765,0.959627046111883,0.928129720869671,0.977652952261405,"dateset1"
"824",863.623529411765,0.959703942980609,0.928209687846962,0.977713472714902,"dateset1"
"825",864.623529411765,0.95978069952517,0.928289568015006,0.977773834529602,"dateset1"
"826",865.623529411765,0.95985731597827,0.928369361475442,0.977834038091156,"dateset1"
"827",866.623529411765,0.959933792572315,0.928449068329696,0.97789408378446,"dateset1"
"828",867.623529411765,0.960010129539414,0.92852868867898,0.977953971993657,"dateset1"
"829",868.623529411765,0.96008632711138,0.928608222624293,0.978013703102132,"dateset1"
"830",869.623529411765,0.960162385519728,0.928687670266423,0.97807327749252,"dateset1"
"831",870.623529411765,0.960238304995678,0.928767031705946,0.978132695546698,"dateset1"
"832",871.623529411765,0.960314085770152,0.928846307043232,0.978191957645792,"dateset1"
"833",872.623529411765,0.960389728073776,0.92892549637844,0.978251064170174,"dateset1"
"834",873.623529411765,0.960465232136879,0.929004599811521,0.97831001549946,"dateset1"
"835",874.623529411765,0.960540598189495,0.929083617442224,0.978368812012519,"dateset1"
"836",875.623529411765,0.96061582646136,0.92916254937009,0.978427454087461,"dateset1"
"837",876.623529411765,0.960690917181913,0.929241395694456,0.97848594210165,"dateset1"
"838",877.623529411765,0.960765870580299,0.929320156514457,0.978544276431693,"dateset1"
"839",878.623529411765,0.960840686885365,0.929398831929027,0.978602457453449,"dateset1"
"840",879.623529411765,0.96091536632566,0.929477422036898,0.978660485542026,"dateset1"
"841",880.623529411765,0.96098990912944,0.929555926936602,0.978718361071778,"dateset1"
"842",881.623529411765,0.961064315524664,0.929634346726475,0.978776084416312,"dateset1"
"843",882.623529411765,0.961138585738993,0.929712681504652,0.978833655948484,"dateset1"
"844",883.623529411765,0.961212719999794,0.929790931369073,0.978891076040401,"dateset1"
"845",884.623529411765,0.961286718534136,0.929869096417482,0.97894834506342,"dateset1"
"846",885.623529411765,0.961360581568794,0.929947176747429,0.979005463388151,"dateset1"
"847",886.623529411765,0.961434309330246,0.93002517245627,0.979062431384453,"dateset1"
"848",887.623529411765,0.961507902044674,0.930103083641168,0.979119249421441,"dateset1"
"849",888.623529411765,0.961581359937964,0.930180910399094,0.97917591786748,"dateset1"
"850",889.623529411765,0.961654683235706,0.93025865282683,0.979232437090188,"dateset1"
"851",890.623529411765,0.961727872163196,0.930336311020966,0.979288807456439,"dateset1"
"852",891.623529411765,0.961800926945433,0.930413885077905,0.979345029332359,"dateset1"
"853",892.623529411765,0.96187384780712,0.93049137509386,0.97940110308333,"dateset1"
"854",893.623529411765,0.961946634972666,0.93056878116486,0.979457029073987,"dateset1"
"855",894.623529411765,0.962019288666184,0.930646103386746,0.979512807668223,"dateset1"
